# JPS / A* · MovingAI .scen 正确性报告   2026-07-04 22:42:47
构建配置（JPS.Core）：斜穿角=禁止
范围：movingai/ 全部，共 1354 个 .scen 文件，每个 全部用例
并行：每张图加载后用 8 线程（CPU 16 的 1/2）共享同一 JpsSystem 跑该图的用例（兼测 JPS 多线程安全）
原生库：JPS.Native.dll 已加载（G:\GitHub\JPS\x64\Release\JPS.Native.dll）→ 每条用例校验「C 版 JPS 路径 == C# 版 JPS 路径」

校验项：
  ① JPS 整数代价 == A* 整数代价（最优性）
  ② JPS 路径合法（相邻/可走/不切角）
  ③ JPS 真实长度 ≈ 官方最优
  ④ C 版 JPS == C# 版 JPS：compact path 与平滑路径均逐点严格一致（强一致）
  ⑤ 随机改图+还原致缓存失效后，冷重扫 == 热结果
列说明：
  n=用例数  pass=三项全过  jFail=JPS无解(A*有解)  subopt=JPS≠A*  inval=路径非法
  refL=比官方长  refS=比官方短  mism=C≠C#(compact 或平滑不一致)  cold=失效重扫≠热结果

------------------------------------------------------------------------------------------------------------
scen                                               n    pass  jFail  subopt  inval   refL   refS   mism   cold
da2-map/ht_chantry_n.map                         450     450      0       0      0      0      0      0      0
da2-map/ht_keep.map                              770     770      0       0      0      0      0      0      0
da2-map/ht_keep_n.map                            799     799      0       0      0      0      0      0      0
da2-map/ht_mansion2.map                         1039    1039      0       0      0      0      0      0      0
da2-map/ht_mansion2b.map                        1030    1030      0       0      0      0      0      0      0
da2-map/ht_mansion_n.map                         580     580      0       0      0      0      0      0      0
da2-map/ht_playershouse_n.map                    360     360      0       0      0      0      0      0      0
da2-map/ht_store.map                              80      80      0       0      0      0      0      0      0
da2-map/lt_0_lowtown.map                        1180    1180      0       0      0      0      0      0      0
da2-map/lt_0_lowtown_a2.map                     1250    1250      0       0      0      0      0      0      0
da2-map/lt_0_lowtown_a2_n.map                   1230    1230      0       0      0      0      0      0      0
da2-map/lt_0_lowtown_a2_n_c.map                 1278    1278      0       0      0      0      0      0      0
da2-map/lt_0_lowtown_a3_n_c.map                 1300    1300      0       0      0      0      0      0      0
da2-map/lt_0_lowtown_docks.map                  1029    1029      0       0      0      0      0      0      0
da2-map/lt_0_lowtown_docks_a3.map               1040    1040      0       0      0      0      0      0      0
da2-map/lt_0_lowtown_docks_a3_n.map             1050    1050      0       0      0      0      0      0      0
da2-map/lt_0_lowtown_docks_n.map                1030    1030      0       0      0      0      0      0      0
da2-map/lt_0_lowtown_n.map                      1200    1200      0       0      0      0      0      0      0
da2-map/lt_backalley_g.map                       419     419      0       0      0      0      0      0      0
da2-map/lt_backalley_n.map                       419     419      0       0      0      0      0      0      0
da2-map/lt_darktown.map                          879     879      0       0      0      0      0      0      0
da2-map/lt_foundry_n.map                         510     510      0       0      0      0      0      0      0
da2-map/lt_gallowscourtyard.map                 1030    1030      0       0      0      0      0      0      0
da2-map/lt_gallowscourtyard_n.map                730     730      0       0      0      0      0      0      0
da2-map/lt_gallowsprison_n.map                   320     320      0       0      0      0      0      0      0
da2-map/lt_gallowstemplar.map                    610     610      0       0      0      0      0      0      0
da2-map/lt_gallowstemplar_f.map                  600     600      0       0      0      0      0      0      0
da2-map/lt_gallowstemplar_n.map                  619     619      0       0      0      0      0      0      0
da2-map/lt_gamlenshouse_n.map                    130     130      0       0      0      0      0      0      0
da2-map/lt_hangedman.map                         520     520      0       0      0      0      0      0      0
da2-map/lt_hangedman_n.map                       500     500      0       0      0      0      0      0      0
da2-map/lt_house.map                              20      20      0       0      0      0      0      0      0
da2-map/lt_ruinedhouse_n.map                     130     130      0       0      0      0      0      0      0
da2-map/lt_shop.map                              129     129      0       0      0      0      0      0      0
da2-map/lt_undercitydungeon.map                  929     929      0       0      0      0      0      0      0
da2-map/lt_undercityencounter.map                749     749      0       0      0      0      0      0      0
da2-map/lt_undercityserialkiller.map             908     908      0       0      0      0      0      0      0
------------------------------------------------------------------------------------------------------------
scen                                               n    pass  jFail  subopt  inval   refL   refS   mism   cold
------------------------------------------------------------------------------------------------------------
da2-map/lt_warehouse.map                         450     450      0       0      0      0      0      0      0
da2-map/lt_warehouse_n.map                       450     450      0       0      0      0      0      0      0
da2-map/w_blightlands.map                       2150    2150      0       0      0      0      0      0      0
da2-map/w_bonepit.map                           1120    1120      0       0      0      0      0      0      0
da2-map/w_bonepitdestroyed_a3.map               1720    1720      0       0      0      0      0      0      0
da2-map/w_bonepitmining_a2.map                  1140    1140      0       0      0      0      0      0      0
da2-map/w_encounter1.map                         519     519      0       0      0      0      0      0      0
da2-map/w_encounter2.map                        1150    1150      0       0      0      0      0      0      0
da2-map/w_encounter2_camp.map                   1190    1190      0       0      0      0      0      0      0
da2-map/w_encounter3.map                         850     850      0       0      0      0      0      0      0
da2-map/w_sundermount.map                       1730    1730      0       0      0      0      0      0      0
da2-map/w_woundedcoast.map                      2100    2100      0       0      0      0      0      0      0
dao-map/arena.map                                130     130      0       0      0      0      0      0      0
dao-map/arena2.map                               910     910      0       0      0      0      0      0      0
dao-map/brc000d.map                              850     850      0       0      0      0      0      0      0
dao-map/brc100d.map                             1360    1360      0       0      0      0      0      0      0
dao-map/brc101d.map                             1570    1570      0       0      0      0      0      0      0
dao-map/brc200d.map                             1279    1279      0       0      0      0      0      0      0
dao-map/brc201d.map                             2088    2088      0       0      0      0      0      0      0
dao-map/brc202d.map                             2549    2549      0       0      0      0      0      0      0
dao-map/brc203d.map                             1288    1288      0       0      0      0      0      0      0
dao-map/brc204d.map                             1460    1460      0       0      0      0      0      0      0
dao-map/brc300d.map                             1120    1120      0       0      0      0      0      0      0
dao-map/brc501d.map                             1410    1410      0       0      0      0      0      0      0
dao-map/brc502d.map                              460     460      0       0      0      0      0      0      0
dao-map/brc503d.map                             1570    1570      0       0      0      0      0      0      0
dao-map/brc504d.map                             1610    1610      0       0      0      0      0      0      0
dao-map/brc505d.map                             1510    1510      0       0      0      0      0      0      0
dao-map/brc997d.map                              660     660      0       0      0      0      0      0      0
dao-map/brc999d.map                              450     450      0       0      0      0      0      0      0
dao-map/combat.map                               680     680      0       0      0      0      0      0      0
dao-map/combat2.map                              680     680      0       0      0      0      0      0      0
dao-map/den000d.map                             1308    1308      0       0      0      0      0      0      0
dao-map/den001d.map                              480     480      0       0      0      0      0      0      0
dao-map/den005d.map                             1499    1499      0       0      0      0      0      0      0
dao-map/den009d.map                              169     169      0       0      0      0      0      0      0
